"year" "country" "growth" "lagg1" "opengdp" "openex" "openimp" "leftc" "central" "inter"
1983 "FIN" 2.5 1.85644 164.16 279.68 346.56 46 2.797666 128.6926
1984 "FIN" 3.5 2.559703 280.12 357.6 315.88 47 2.797666 131.4903
1970 "FRA" 5.7 4.265176 105.93 186.18 186.18 0 0.8112574 0
1971 "FRA" 5.4 4.794244 122.84 129.48 202.52 0 0.8112574 0
1972 "FRA" 5.9 3.988846 180.9 87.1 187.6 0 0.8112574 0
1973 "FRA" 5.4 4.699542 204.06 365.16 286.4 0 0.8112574 0
1974 "FRA" 3.2 4.503106 35.6 1050.2 516.2 0 0.8112574 0
1975 "FRA" 0.2 4.004117 -11.49 275.76 409.81 0 0.8112574 0
1976 "FRA" 5.2 1.796493 199.2 273.9 332 0 0.8112574 0
1977 "FRA" 3.1 4.623044 145.86 248.82 338.91 0 0.8112574 0
1978 "FRA" 3.8 3.379503 166.4 141.44 320.32 0 0.8112574 0
1979 "FRA" 3.3 3.309863 135.78 459.9 372.3 0 0.8112574 0
1980 "FRA" 1.1 3.871874 60.32 542.88 459.36 0 0.8112574 0
1981 "FRA" 0.2 2.616405 77.76 447.12 447.12 52 0.8112574 42.18539
1982 "FRA" 1.8 1.981015 -9.74 331.16 374.99 89 0.8112574 72.20191
1984 "FRA" 1.5 0.9284386 238.29 304.2 268.71 96 0.8112574 77.88071
1970 "GER" 5.2 4.793537 132.66 233.16 233.16 79 1.727078 136.4391
1971 "GER" 3.3 4.07245 148 156 244 79 1.727078 136.4391
1972 "GER" 4.2 3.323021 213.84 102.96 221.76 78 1.727078 134.7121
1973 "GER" 4.5 3.523739 234.27 419.22 328.8 71 1.727078 122.6225
1974 "GER" 0.7 4.072878 38.72 1142.24 561.44 72 1.727078 124.3496
1975 "GER" -1.6 2.727894 -14.01 336.24 499.69 73 1.727078 126.0767
1977 "GER" 3.1 3.634015 167.28 285.36 388.68 73 1.727078 126.0767
1978 "GER" 3.1 2.137795 191.6 162.86 368.83 73 1.727078 126.0767
1979 "GER" 4.1 2.893793 155.62 527.1 426.7 73 1.727078 126.0767
1980 "GER" 1.9 2.64578 70.59 635.31 537.57 73 1.727078 126.0767
1981 "GER" 0.2 1.539481 93.12 535.44 535.44 75 1.727078 129.5308
1982 "GER" -0.6 1.024641 -11.94 405.96 459.69 56 1.727078 96.71635
1983 "GER" 1.5 1.303289 150.66 256.68 318.06 0 1.727078 0
1984 "GER" 2.7 1.035193 278.24 355.2 313.76 0 1.727078 0
1970 "IRE" 3.5 5.639893 270.6 475.6 475.6 0 1.799931 0
1971 "IRE" 3.4 4.252806 294.15 310.05 484.95 0 1.799931 0
1972 "IRE" 6.4 3.825858 402.3 193.7 417.2 0 1.799931 0
1973 "IRE" 4.7 4.776489 471.96 844.56 662.4 25 1.799931 44.99828
1974 "IRE" 4.3 5.828058 79.84 2355.28 1157.68 33 1.799931 59.39773
1975 "IRE" 2 3.481594 -27.63 663.12 985.47 33 1.799931 59.39773
1976 "IRE" 1.9 -0.581469 485.28 667.26 808.8 33 1.799931 59.39773
1977 "IRE" 6.8 2.292844 376.04 641.48 873.74 33 1.799931 59.39773
1978 "IRE" 5.9 2.63117 454.8 386.58 875.49 33 1.799931 59.39773
1979 "IRE" 2.5 4.164017 377.58 1278.9 1035.3 30 1.799931 53.99793
1980 "IRE" 2.8 4.200584 155.87 1402.83 1187.01 0 1.799931 0
1981 "IRE" 1.1 0.02272916 193.28 1111.36 1111.36 14 1.799931 25.19904
1982 "IRE" 1.4 0.5152895 -21.86 743.24 841.61 7 1.799931 12.59952
1983 "IRE" -1.9 1.052025 295.38 503.24 623.58 27 1.799931 48.59814
1984 "IRE" 4.2 -0.414837 571.99 730.2 645.01 27 1.799931 48.59814
1970 "ITA" 5.3 3.863427 115.5 203 203 16 1.582613 25.32181
1971 "ITA" 1.6 4.893976 130.61 137.67 215.33 22 1.582613 34.81749
1972 "ITA" 3.2 3.675039 199.26 95.94 206.64 11 1.582613 17.40874
1973 "ITA" 7 3.094013 226.29 404.94 317.6 10 1.582613 15.82613
1974 "ITA" 4.1 4.230047 39.28 1158.76 569.56 20 1.582613 31.65226
1975 "ITA" -3.6 3.658591 -13.65 327.6 486.85 0 1.582613 0
1976 "ITA" 5.9 0.8903082 242.4 333.3 404 0 1.582613 0
1977 "ITA" 1.9 3.348712 174.42 297.54 405.27 0 1.582613 0
1978 "ITA" 2.7 3.271192 204 173.4 392.7 0 1.582613 0
1979 "ITA" 4.9 3.588636 168.64 571.2 462.4 0 1.582613 0
1980 "ITA" 3.9 3.911368 68.9 620.1 524.7 21 1.582613 33.23488
1981 "ITA" -0.2 2.750063 89.12 512.44 512.44 26 1.582613 41.14794
1982 "ITA" -0.5 2.549365 -10.86 369.24 418.11 27 1.582613 42.73056
1983 "ITA" -0.2 1.927723 138.51 235.98 292.41 18 1.582613 28.48704
1984 "ITA" 2.8 1.896298 252.39 322.2 284.61 22 1.582613 34.81749
1970 "JAP" 9.8 4.684566 66.99 117.74 117.74 0 0.4054115 0
1971 "JAP" 4.6 5.193817 76.59 80.73 126.27 0 0.4054115 0
1972 "JAP" 8.8 4.237196 102.06 49.14 105.84 0 0.4054115 0
1973 "JAP" 8.8 4.978616 114 204 160 0 0.4054115 0
1974 "JAP" -1 5.934126 22.4 660.8 324.8 0 0.4054115 0
1975 "JAP" 2.3 4.886147 -7.68 184.32 273.92 0 0.4054115 0
1976 "JAP" 5.3 2.034876 126.72 174.24 211.2 0 0.4054115 0
1977 "JAP" 5.3 5.873933 83.98 143.26 195.13 0 0.4054115 0
1978 "JAP" 5 4.1034 82.8 70.38 159.39 0 0.4054115 0
1979 "JAP" 5.1 4.497083 75.33 255.15 206.55 0 0.4054115 0
1980 "JAP" 4.9 4.658776 37.44 336.96 285.12 0 0.4054115 0
1981 "JAP" 4 3.727021 47.04 270.48 270.48 0 0.4054115 0
1982 "JAP" 2.8 2.517228 -5.8 197.2 223.3 0 0.4054115 0
1983 "JAP" 3.2 3.569969 70.74 120.52 149.34 0 0.4054115 0
1984 "JAP" 5 4.128896 129.25 165 145.75 0 0.4054115 0
1970 "NET" 6.7 5.771074 301.95 530.7 530.7 0 1.888422 0
1971 "NET" 4.3 6.148917 337.07 355.29 555.71 0 1.888422 0
1972 "NET" 3.4 4.320229 647.46 311.74 671.44 0 1.888422 0
1973 "NET" 5.7 4.601779 519.84 930.24 729.6 29 1.888422 54.76424
1974 "NET" 3.5 6.23953 83.76 2470.92 1214.52 44 1.888422 83.09057
1975 "NET" -1 4.55936 -28.83 691.92 1028.27 44 1.888422 83.09057
1977 "NET" 2.4 4.696547 319.26 544.62 741.81 44 1.888422 83.09057
1978 "NET" 2.7 2.745601 359.2 305.32 691.46 0 1.888422 0
1979 "NET" 2.1 3.96234 305.97 1036.35 838.95 0 1.888422 0
1980 "NET" 0.9 3.484431 137.54 1237.86 1047.42 0 1.888422 0
1981 "NET" -1.2 1.181687 180.64 1038.68 1038.68 13 1.888422 24.54949
1982 "NET" -1.4 1.049496 -22.26 756.84 857.01 16 1.888422 30.21475
1983 "NET" 1.4 1.195729 301.32 513.36 636.12 0 1.888422 0
1984 "NET" 2.4 1.359738 564.47 720.6 636.53 0 1.888422 0
1970 "NOR" 2 5.283547 280.17 492.42 492.42 0 3.455832 0
1971 "NOR" 4.6 6.683519 309.69 326.43 510.57 83 3.455832 286.8341
1972 "NOR" 5.2 2.007254 435.24 209.56 451.36 83 3.455832 286.8341
1973 "NOR" 4.1 5.923703 499.89 894.54 701.6 25 3.455832 86.3958
1974 "NOR" 5.2 5.417566 76.4 2253.8 1107.8 100 3.455832 345.5832
1975 "NOR" 4.2 1.723631 -27.09 650.16 966.21 100 3.455832 345.5832
1976 "NOR" 6.8 0.8343365 440.16 605.22 733.6 100 3.455832 345.5832
1977 "NOR" 3.6 4.60159 307.02 523.74 713.37 100 3.455832 345.5832
1978 "NOR" 4.5 2.502116 330.8 281.18 636.79 100 3.455832 345.5832
1979 "NOR" 5.1 3.944503 265.67 899.85 728.45 100 3.455832 345.5832
1980 "NOR" 3.9 3.054767 115.7 1041.3 881.1 100 3.455832 345.5832
1981 "NOR" 0.8 2.273054 140.16 805.92 805.92 75 3.455832 259.1874
1982 "NOR" 0.3 1.347312 -17.14 582.76 659.89 0 3.455832 0
1983 "NOR" 4.5 1.05849 225.45 384.1 475.95 0 3.455832 0
1984 "NOR" 5.6 2.225661 399.5 510 450.5 0 3.455832 0
1970 "SWE" 6.5 5.036657 162.36 285.36 285.36 100 3.618419 361.8419
1972 "SWE" 2.2 3.496536 254.34 122.46 263.76 100 3.618419 361.8419
1973 "SWE" 3.9 3.758815 297.54 532.44 417.6 100 3.618419 361.8419
1974 "SWE" 4.3 5.061271 52.32 1543.44 758.64 100 3.618419 361.8419
1975 "SWE" 2.2 3.217412 -16.98 407.52 605.62 100 3.618419 361.8419
1976 "SWE" 1.2 0.7680899 275.04 378.18 458.4 75 3.618419 271.3814
1977 "SWE" -2 4.231552 192.1 327.7 446.35 0 3.618419 0
1978 "SWE" 1.3 2.566139 223.6 190.06 430.43 0 3.618419 0
1979 "SWE" 4.3 1.728457 193.44 655.2 530.4 0 3.618419 0
1980 "SWE" 1.9 4.007436 79.95 719.55 608.85 0 3.618419 0
1981 "SWE" -0.6 1.59891 98.08 563.96 563.96 0 3.618419 0
1982 "SWE" 0.8 0.7263937 -13.18 448.12 507.43 25 3.618419 90.46047
1983 "SWE" 2.4 2.073184 184.68 314.64 389.88 100 3.618419 361.8419
1984 "SWE" 4 1.940852 321.01 409.8 361.99 100 3.618419 361.8419
1970 "UK" 2.2 3.207895 150.48 264.48 264.48 50 1.931243 96.56215
1971 "UK" 2.7 2.555022 170.57 179.79 281.21 0 1.931243 0
1972 "UK" 2.2 2.596912 241.38 116.22 250.32 0 1.931243 0
1973 "UK" 7.5 3.8382 291.27 521.22 408.8 0 1.931243 0
1974 "UK" -1 4.833746 49.76 1467.92 721.52 83 1.931243 160.2932
1975 "UK" -0.7 2.694365 -16.44 394.56 586.36 100 1.931243 193.1243
1976 "UK" 3.6 -0.291296 283.2 389.4 472 100 1.931243 193.1243
1977 "UK" 1.3 3.145015 206.72 352.64 480.32 100 1.931243 193.1243
1978 "UK" 3.7 1.255917 231.2 196.52 445.06 100 1.931243 193.1243
1979 "UK" 1.6 1.662783 177.94 602.7 487.9 33 1.931243 63.73102
1980 "UK" -2 3.339235 70.33 632.97 535.59 0 1.931243 0
1982 "UK" 1 1.052164 -10.34 351.56 398.09 0 1.931243 0
1983 "UK" 3.8 2.038568 143.1 243.8 302.1 0 1.931243 0
1984 "UK" 2.2 1.979094 273.07 348.6 307.93 0 1.931243 0
1970 "USA" -0.3 4.371512 36.96 64.96 64.96 0 0.8594123 0
1971 "USA" 3.1 3.234564 41.44 43.68 68.32 0 0.8594123 0
1972 "USA" 5.4 3.1325 64.26 30.94 66.64 0 0.8594123 0
1973 "USA" 5.5 4.565436 78.09 139.74 109.6 0 0.8594123 0
1974 "USA" -0.7 4.043286 13.84 408.28 200.68 0 0.8594123 0
1975 "USA" -0.7 2.418196 -4.89 117.36 174.41 0 0.8594123 0
1976 "USA" 4.9 1.245826 81.6 112.2 136 0 0.8594123 0
1977 "USA" 5.2 4.074695 58.48 99.76 135.88 0 0.8594123 0
1978 "USA" 4.7 4.130363 71.2 60.52 137.06 0 0.8594123 0
1979 "USA" 2.4 3.198397 60.14 203.7 164.9 0 0.8594123 0
1980 "USA" -0.3 2.926586 27.56 248.04 209.88 0 0.8594123 0
1981 "USA" 2.3 2.343424 32.32 185.84 185.84 0 0.8594123 0
1982 "USA" -2.5 1.931137 -3.64 123.76 140.14 0 0.8594123 0
1983 "USA" 4 2.825111 46.98 80.04 99.18 0 0.8594123 0
